Name,Author Type,Article Type,Journal,Year,Article title,Author affiliation
M Brian Traw,4,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Matthew Horton,5,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Petra Epple,6,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Christine Kuhns,7,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Sridevi Sureshkumar,8,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Christopher Schwartz,9,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Christa Lanz,10,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Roosa A E Laitinen,11,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Yu Huang,12,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Joanne Chory,13,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Volker Lipka,14,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Justin O Borevitz,15,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Jeffery L Dangl,16,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Joy Bergelson,17,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Magnus Nordborg,18,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Detlef Weigel,Corresponding,Journal Article,Nature,2010,Natural allelic variation underlying a major fitness trade-off in Arabidopsis thaliana.,
Zheng Huang,First,Journal Article,Nature,2010,Ligand exchanges and selective catalytic hydrogenation in molecular single crystals.,Department of Chemistry; University of North Carolina at Chapel Hill; Chapel Hill; North Carolina 27599; USA.
Peter S White,2,Journal Article,Nature,2010,Ligand exchanges and selective catalytic hydrogenation in molecular single crystals.,
Maurice Brookhart,Corresponding,Journal Article,Nature,2010,Ligand exchanges and selective catalytic hydrogenation in molecular single crystals.,
Ramakrishna K Chodavarapu,First,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,Department of Molecular; Cell; and Developmental Biology; University of California Los Angeles; Los Angeles; California 90095; USA.
Suhua Feng,2,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Yana V Bernatavichute,3,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Pao-Yang Chen,4,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Hume Stroud,5,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Yanchun Yu,6,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Jonathan A Hetzel,7,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Frank Kuo,8,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Jin Kim,9,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Shawn J Cokus,10,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
David Casero,11,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Maria Bernal,12,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Peter Huijser,13,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Amander T Clark,14,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Ute KrÃ¤mer,15,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Sabeeha S Merchant,16,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Xiaoyu Zhang,17,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Steven E Jacobsen,18,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Matteo Pellegrini,Corresponding,Journal Article,Nature,2010,Relationship between nucleosome positioning and DNA methylation.,
Shau-Kwaun Chen,First,Journal Article,Cell,2010,Hematopoietic origin of pathological grooming in Hoxb8 mutant mice.,Howard Hughes Medical Institute; Department of Human Genetics; University of Utah School of Medicine; Salt Lake City; UT 84112; USA.
Petr Tvrdik,2,Journal Article,Cell,2010,Hematopoietic origin of pathological grooming in Hoxb8 mutant mice.,
Erik Peden,3,Journal Article,Cell,2010,Hematopoietic origin of pathological grooming in Hoxb8 mutant mice.,
Scott Cho,4,Journal Article,Cell,2010,Hematopoietic origin of pathological grooming in Hoxb8 mutant mice.,
Sen Wu,5,Journal Article,Cell,2010,Hematopoietic origin of pathological grooming in Hoxb8 mutant mice.,
Gerald Spangrude,6,Journal Article,Cell,2010,Hematopoietic origin of pathological grooming in Hoxb8 mutant mice.,
Mario R Capecchi,Corresponding,Journal Article,Cell,2010,Hematopoietic origin of pathological grooming in Hoxb8 mutant mice.,
Arnold J Bloom,First,Journal Article,Science,2010,Carbon dioxide enrichment inhibits nitrate assimilation in wheat and Arabidopsis.,Department of Plant Sciences; University of California at Davis; Davis; CA 95616; USA. ajbloom@ucdavis.edu
Martin Burger,2,Journal Article,Science,2010,Carbon dioxide enrichment inhibits nitrate assimilation in wheat and Arabidopsis.,
Jose Salvador Rubio Asensio,3,Journal Article,Science,2010,Carbon dioxide enrichment inhibits nitrate assimilation in wheat and Arabidopsis.,
Asaph B Cousins,Corresponding,Journal Article,Science,2010,Carbon dioxide enrichment inhibits nitrate assimilation in wheat and Arabidopsis.,
Nicolas Gillet,First,Journal Article,Nature,2010,Fast torsional waves and strong magnetic field within the Earth's core.,Laboratoire de GÃ©ophysique Interne et Tectonophysique; CNRS; UniversitÃ© Joseph Fourier; BP 53; 38041 Grenoble cedex 9; France. nicolas.gillet@obs.ujf-grenoble.fr
Dominique Jault,2,Journal Article,Nature,2010,Fast torsional waves and strong magnetic field within the Earth's core.,
Elisabeth Canet,3,Journal Article,Nature,2010,Fast torsional waves and strong magnetic field within the Earth's core.,
Alexandre Fournier,Corresponding,Journal Article,Nature,2010,Fast torsional waves and strong magnetic field within the Earth's core.,
Johanna C Scheuermann,First,Journal Article,Nature,2010,Histone H2A deubiquitinase activity of the Polycomb repressive complex PR-DUB.,European Molecular Biology Laboratory; Meyerhofstrasse 1; 69117 Heidelberg; Germany.
AndrÃ©s GaytÃ¡n de Ayala Alonso,2,Journal Article,Nature,2010,Histone H2A deubiquitinase activity of the Polycomb repressive complex PR-DUB.,
Katarzyna Oktaba,3,Journal Article,Nature,2010,Histone H2A deubiquitinase activity of the Polycomb repressive complex PR-DUB.,
Nga Ly-Hartig,4,Journal Article,Nature,2010,Histone H2A deubiquitinase activity of the Polycomb repressive complex PR-DUB.,
Robert K McGinty,5,Journal Article,Nature,2010,Histone H2A deubiquitinase activity of the Polycomb repressive complex PR-DUB.,
Sven Fraterman,6,Journal Article,Nature,2010,Histone H2A deubiquitinase activity of the Polycomb repressive complex PR-DUB.,
Matthias Wilm,7,Journal Article,Nature,2010,Histone H2A deubiquitinase activity of the Polycomb repressive complex PR-DUB.,
Tom W Muir,8,Journal Article,Nature,2010,Histone H2A deubiquitinase activity of the Polycomb repressive complex PR-DUB.,
JÃ¼rg MÃ¼ller,Corresponding,Journal Article,Nature,2010,Histone H2A deubiquitinase activity of the Polycomb repressive complex PR-DUB.,
Fabio Fornara,First,Journal Article,Cell,2010,SnapShot: Control of flowering in Arabidopsis.,Max Planck Institute for Plant Breeding Research; KÃ¶ln 50829; Germany.
Amaury de Montaigu,2,Journal Article,Cell,2010,SnapShot: Control of flowering in Arabidopsis.,
George Coupland,Corresponding,Journal Article,Cell,2010,SnapShot: Control of flowering in Arabidopsis.,
Kevin B Stevenson,First,Journal Article,Nature,2010,Possible thermochemical disequilibrium in the atmosphere of the exoplanet GJ 436b.,Planetary Sciences Group; Department of Physics; University of Central Florida; Orlando; Florida 32816; USA. kevin218@knights.ucf.edu
Joseph Harrington,2,Journal Article,Nature,2010,Possible thermochemical disequilibrium in the atmosphere of the exoplanet GJ 436b.,
Sarah Nymeyer,3,Journal Article,Nature,2010,Possible thermochemical disequilibrium in the atmosphere of the exoplanet GJ 436b.,
Nikku Madhusudhan,4,Journal Article,Nature,2010,Possible thermochemical disequilibrium in the atmosphere of the exoplanet GJ 436b.,
Sara Seager,5,Journal Article,Nature,2010,Possible thermochemical disequilibrium in the atmosphere of the exoplanet GJ 436b.,
William C Bowman,6,Journal Article,Nature,2010,Possible thermochemical disequilibrium in the atmosphere of the exoplanet GJ 436b.,
Ryan A Hardy,7,Journal Article,Nature,2010,Possible thermochemical disequilibrium in the atmosphere of the exoplanet GJ 436b.,
Drake Deming,8,Journal Article,Nature,2010,Possible thermochemical disequilibrium in the atmosphere of the exoplanet GJ 436b.,
Emily Rauscher,9,Journal Article,Nature,2010,Possible thermochemical disequilibrium in the atmosphere of the exoplanet GJ 436b.,
Nate B Lust,Corresponding,Journal Article,Nature,2010,Possible thermochemical disequilibrium in the atmosphere of the exoplanet GJ 436b.,
Attila Molnar,First,Journal Article,Science,2010,Small silencing RNAs in plants are mobile and direct epigenetic modification in recipient cells.,Department of Plant Sciences; University of Cambridge; Cambridge CB2 3EA; UK.
Charles W Melnyk,2,Journal Article,Science,2010,Small silencing RNAs in plants are mobile and direct epigenetic modification in recipient cells.,
Andrew Bassett,3,Journal Article,Science,2010,Small silencing RNAs in plants are mobile and direct epigenetic modification in recipient cells.,
Thomas J Hardcastle,4,Journal Article,Science,2010,Small silencing RNAs in plants are mobile and direct epigenetic modification in recipient cells.,
Ruth Dunn,5,Journal Article,Science,2010,Small silencing RNAs in plants are mobile and direct epigenetic modification in recipient cells.,
David C Baulcombe,Corresponding,Journal Article,Science,2010,Small silencing RNAs in plants are mobile and direct epigenetic modification in recipient cells.,
Zhihuan Gao,First,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,Institute for Integrative Genome Biology and Department of Botany and Plant Sciences; University of California; Riverside; California 92521; USA.
Hai-Liang Liu,2,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Lucia Daxinger,3,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Olga Pontes,4,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Xinjian He,5,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Weiqiang Qian,6,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Huixin Lin,7,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Mingtang Xie,8,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Zdravko J Lorkovic,9,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Shoudong Zhang,10,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Daisuke Miki,11,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Xiangqiang Zhan,12,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Dominique Pontier,13,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Thierry Lagrange,14,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Hailing Jin,15,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Antonius J M Matzke,16,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Marjori Matzke,17,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Craig S Pikaard,18,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Jian-Kang Zhu,Corresponding,Journal Article,Nature,2010,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation.,
Annelie Carlsbecker,First,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,Institute of Biotechnology/Department of Biosciences; University of Helsinki; FIN-00014; Finland.
Ji-Young Lee,2,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
Christina J Roberts,3,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
Jan Dettmer,4,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
Satu Lehesranta,5,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
Jing Zhou,6,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
Ove Lindgren,7,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
Miguel A Moreno-Risueno,8,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
Anne VatÃ©n,9,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
Siripong Thitamadee,10,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
Ana Campilho,11,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
Jose Sebastian,12,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
John L Bowman,13,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
YkÃ¤ Helariutta,14,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
Philip N Benfey,Corresponding,Journal Article,Nature,2010,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.,
R L Macdonald,First,Journal Article,Science,1978,Specific-opiate-induced depression of transmitter release from dorsal root ganglion cells in culture.,
P G Nelson,Corresponding,Journal Article,Science,1978,Specific-opiate-induced depression of transmitter release from dorsal root ganglion cells in culture.,
Takashi Tsuchimatsu,First,Journal Article,Nature,2010,Evolution of self-compatibility in Arabidopsis by a mutation in the male specificity gene.,Institute of Plant Biology; University Research Priority Program in Systems Biology/Functional Genomics & ZÃ¼rich-Basel Plant Science Center; University of Zurich; Zollikerstrasse 107; CH-8008 Zurich; Switzerland.
Keita Suwabe,2,Journal Article,Nature,2010,Evolution of self-compatibility in Arabidopsis by a mutation in the male specificity gene.,
Rie Shimizu-Inatsugi,3,Journal Article,Nature,2010,Evolution of self-compatibility in Arabidopsis by a mutation in the male specificity gene.,
Sachiyo Isokawa,4,Journal Article,Nature,2010,Evolution of self-compatibility in Arabidopsis by a mutation in the male specificity gene.,
Pavlos Pavlidis,5,Journal Article,Nature,2010,Evolution of self-compatibility in Arabidopsis by a mutation in the male specificity gene.,
Thomas StÃ¤dler,6,Journal Article,Nature,2010,Evolution of self-compatibility in Arabidopsis by a mutation in the male specificity gene.,
Go Suzuki,7,Journal Article,Nature,2010,Evolution of self-compatibility in Arabidopsis by a mutation in the male specificity gene.,
Seiji Takayama,8,Journal Article,Nature,2010,Evolution of self-compatibility in Arabidopsis by a mutation in the male specificity gene.,
Masao Watanabe,9,Journal Article,Nature,2010,Evolution of self-compatibility in Arabidopsis by a mutation in the male specificity gene.,
Kentaro K Shimizu,Corresponding,Journal Article,Nature,2010,Evolution of self-compatibility in Arabidopsis by a mutation in the male specificity gene.,
Laurens Pauwels,First,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,Department of Plant Systems Biology; Flanders Institute for Biotechnology (VIB); Technologiepark 927; B-9052 Gent; Belgium.
Gemma FernÃ¡ndez Barbero,2,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Jan Geerinck,3,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Sofie Tilleman,4,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Wim Grunewald,5,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Amparo CuÃ©llar PÃ©rez,6,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
JosÃ© Manuel Chico,7,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Robin Vanden Bossche,8,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Jared Sewell,9,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Eduardo Gil,10,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Gloria GarcÃ­a-Casado,11,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Erwin Witters,12,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Dirk InzÃ©,13,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Jeff A Long,14,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Geert De Jaeger,15,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Roberto Solano,16,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
Alain Goossens,Corresponding,Journal Article,Nature,2010,NINJA connects the co-repressor TOPLESS to jasmonate signalling.,
David S Skibbe,First,Journal Article,Science,2010,Maize tumors caused by Ustilago maydis require organ-specific genes in host and pathogen.,Department of Biology; Stanford University; Stanford; CA 94305-5020; USA.
Gunther Doehlemann,2,Journal Article,Science,2010,Maize tumors caused by Ustilago maydis require organ-specific genes in host and pathogen.,
John Fernandes,3,Journal Article,Science,2010,Maize tumors caused by Ustilago maydis require organ-specific genes in host and pathogen.,
Virginia Walbot,Corresponding,Journal Article,Science,2010,Maize tumors caused by Ustilago maydis require organ-specific genes in host and pathogen.,
Kerstin Kaufmann,First,Journal Article,Science,2010,Orchestration of floral initiation by APETALA1.,Business Unit Bioscience; Plant Research International; Wageningen 6700 AA; Netherlands.
Frank Wellmer,2,Journal Article,Science,2010,Orchestration of floral initiation by APETALA1.,
Jose M MuiÃ±o,3,Journal Article,Science,2010,Orchestration of floral initiation by APETALA1.,
Thilia Ferrier,4,Journal Article,Science,2010,Orchestration of floral initiation by APETALA1.,
Samuel E Wuest,5,Journal Article,Science,2010,Orchestration of floral initiation by APETALA1.,
Vijaya Kumar,6,Journal Article,Science,2010,Orchestration of floral initiation by APETALA1.,
Antonio Serrano-Mislata,7,Journal Article,Science,2010,Orchestration of floral initiation by APETALA1.,
Francisco MadueÃ±o,8,Journal Article,Science,2010,Orchestration of floral initiation by APETALA1.,
Pawel Krajewski,9,Journal Article,Science,2010,Orchestration of floral initiation by APETALA1.,
Elliot M Meyerowitz,10,Journal Article,Science,2010,Orchestration of floral initiation by APETALA1.,
Gerco C Angenent,11,Journal Article,Science,2010,Orchestration of floral initiation by APETALA1.,
JosÃ© Luis Riechmann,Corresponding,Journal Article,Science,2010,Orchestration of floral initiation by APETALA1.,
Claudia Adam,First,Journal Article,Science,2010,Mantle flow drives the subsidence of oceanic plates.,Institute for Research on Earth Evolution; Japan Agency for Marine-Earth Science and Technology; 2-15 Natsushima; Yokosuka; 237-0061; Japan. adam@uevora.pt
ValÃ©rie Vidal,Corresponding,Journal Article,Science,2010,Mantle flow drives the subsidence of oceanic plates.,
J W LINNETT,Corresponding,Journal Article,Nature,1947,Structure of ethylene oxide and cyclopropane.,
R ROBINSON,Corresponding,Journal Article,Nature,1947,Structures of ethylene oxide and cyclopropane.,
A MALABOTTI,Corresponding,Journal Article,Nature,1947,Influence of heteroauxin on the cotyledons of Phaseolus vulgaris L.,
L PORTHEIM,Corresponding,Journal Article,Nature,1947,Influence of heteroauxin on the cotyledons of Phaseolus vulgaris L.,
Maruthachalam Ravi,First,Journal Article,Nature,2010,Haploid plants produced by centromere-mediated genome elimination.,Department of Plant Biology; University of California; Davis; Davis; California 95616; USA.
Simon W L Chan,Corresponding,Journal Article,Nature,2010,Haploid plants produced by centromere-mediated genome elimination.,
Ben Bond-Lamberty,First,Journal Article,Nature,2010,Temperature-associated increases in the global soil respiration record.,Pacific Northwest National Laboratory; Joint Global Change Research Institute at the University of Maryland-College Park; 5825 University Research Court; Suite 3500; College Park; Maryland 20740; USA. bondlamberty@pnl.gov
Allison Thomson,Corresponding,Journal Article,Nature,2010,Temperature-associated increases in the global soil respiration record.,
Susanna Atwell,First,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,Molecular and Computational Biology; University of Southern California; Los Angeles; California 90089; USA.
Yu S Huang,2,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Bjarni J VilhjÃ¡lmsson,3,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Glenda Willems,4,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Matthew Horton,5,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Yan Li,6,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Dazhe Meng,7,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Alexander Platt,8,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Aaron M Tarone,9,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Tina T Hu,10,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Rong Jiang,11,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
N Wayan Muliyati,12,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Xu Zhang,13,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Muhammad Ali Amer,14,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Ivan Baxter,15,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Benjamin Brachi,16,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Joanne Chory,17,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Caroline Dean,18,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Marilyne Debieu,19,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Juliette de Meaux,20,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Joseph R Ecker,21,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Nathalie Faure,22,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Joel M Kniskern,23,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Jonathan D G Jones,24,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Todd Michael,25,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Adnane Nemri,26,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Fabrice Roux,27,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
David E Salt,28,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Chunlao Tang,29,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Marco Todesco,30,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
M Brian Traw,31,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Detlef Weigel,32,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Paul Marjoram,33,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Justin O Borevitz,34,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Joy Bergelson,35,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
Magnus Nordborg,Corresponding,Journal Article,Nature,2010,Genome-wide association study of 107 phenotypes in Arabidopsis thaliana inbred lines.,
K L Prime,First,Journal Article,Science,1991,Self-assembled organic monolayers: model systems for studying adsorption of proteins at surfaces.,Department of Chemistry; Harvard University; Cambridge; MA 02138.
G M Whitesides,Corresponding,Journal Article,Science,1991,Self-assembled organic monolayers: model systems for studying adsorption of proteins at surfaces.,
C A McDOWELL,Corresponding,Journal Article,Nature,1947,Structures of ethylene oxide and cyclopropane.,
A D WALSH,Corresponding,Journal Article,Nature,1947,Structures of ethylene oxide and cyclopropane.,
P W BRIAN,First,Journal Article,Nature,1947,Fungistatic activity of ethylenic and acetylenic compounds.,
J F GROVE,2,Journal Article,Nature,1947,Fungistatic activity of ethylenic and acetylenic compounds.,
J C McGOWAN,Corresponding,Journal Article,Nature,1947,Fungistatic activity of ethylenic and acetylenic compounds.,
J C SEN GUPTA,First,Journal Article,Nature,1947,Leaf heteromorphism and photoperiods in Sesamum orientale L.,
S K PAYNE,Corresponding,Journal Article,Nature,1947,Leaf heteromorphism and photoperiods in Sesamum orientale L.,
L NICHOLLS,Corresponding,Journal Article,Nature,1947,Thiamine of milled raw and parbioled rice.,
F G GREGORY,First,Journal Article,Nature,1947,Abnormal flower development in barley involving sex reversal.,
O N PURVIS,Corresponding,Journal Article,Nature,1947,Abnormal flower development in barley involving sex reversal.,
R ROBINSON,Corresponding,Journal Article,Nature,1947,Formulae for ethylene oxide and cyclopropane.,
P LARSEN,Corresponding,Journal Article,Nature,1947,Neutral auxins.,
A D WALSH,Corresponding,Journal Article,Nature,1947,Structures of ethylene oxide and cyclopropane.,
D KEILIN,First,Journal Article,Nature,1947,Haemoglobin and nitrogen fixation in the root nodules of leguminous plants.,
J D SMITH,Corresponding,Journal Article,Nature,1947,Haemoglobin and nitrogen fixation in the root nodules of leguminous plants.,
Alexandra Schlereth,First,Journal Article,Nature,2010,MONOPTEROS controls embryonic root initiation by regulating a mobile transcription factor.,Entwicklungsgenetik; Zentrum fÃ¼r Molekularbiologie der Pflanzen (ZMBP); UniversitÃ¤t TÃ¼bingen; Auf der Morgenstelle 3; 72076 TÃ¼bingen; Germany.
Barbara MÃ¶ller,2,Journal Article,Nature,2010,MONOPTEROS controls embryonic root initiation by regulating a mobile transcription factor.,
